match_id,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2
2021-ausopen-MS204,2021,ausopen,1204,C Moutet,M Raonic,,,,,,,,,,
2021-ausopen-MS205,2021,ausopen,1205,E Ruusuvuori,P Martinez,,,,,,,,,,
2021-ausopen-MS206,2021,ausopen,1206,A Bublik,D Lajovic,,,,,,,,,,
2021-ausopen-MS207,2021,ausopen,1207,A Mannarino,M Kecmanovic,,,,,,,,,,
2021-ausopen-MS208,2021,ausopen,1208,M Cressy,A Zverev,,,,,,,,,,
2021-ausopen-MS209,2021,ausopen,1209,D Thiem,D Koepfer,,,,,,,,,,
2021-ausopen-MS210,2021,ausopen,1210,N Kyrgios,U Humbert,,,,,,,,,,
2021-ausopen-MS211,2021,ausopen,1211,G Dimitrov,A Bolt,,,,,,,,,,
2021-ausopen-MS212,2021,ausopen,1212,J Vesely,P Carreno Busta,,,,,,,,,,
2021-ausopen-MS213,2021,ausopen,1213,D Shapovalov,B Tomic,,,,,,,,,,
2021-ausopen-MS214,2021,ausopen,1214,J Duckworth,F Auger-Aliassime,,,,,,,,,,
2021-ausopen-MS215,2021,ausopen,1215,E Gerasimov,A Karatsev,,,,,,,,,,
2021-ausopen-MS216,2021,ausopen,1216,A Muller,D Schwartzman,,,,,,,,,,
2021-ausopen-MS217,2021,ausopen,1217,A Rublev,T Monteiro,,,,,,,,,,
2021-ausopen-MS218,2021,ausopen,1218,F Lopez,L Sonego,,,,,,,,,,
2021-ausopen-MS219,2021,ausopen,1219,C Ruud,T Paul,,,,,,,,,,
2021-ausopen-MS220,2021,ausopen,1220,C O'Connell,R Albot,,,,,,,,,,
2021-ausopen-MS221,2021,ausopen,1221,A Popyrin,L Harris,,,,,,,,,,
2021-ausopen-MS222,2021,ausopen,1222,M Mcdonald,B Coric,,,,,,,,,,
2021-ausopen-MS223,2021,ausopen,1223,F Krajinovic,P Andujar,,,,,,,,,,
2021-ausopen-MS224,2021,ausopen,1224,R Carballes Baena,D Medvedev,,,,,,,,,,
2021-ausopen-MS225,2021,ausopen,1225,S Tsitsipas,T Kokkinakis,,,,,,,,,,
2021-ausopen-MS226,2021,ausopen,1226,C Alcaraz,M Ymer,,,,,,,,,,
2021-ausopen-MS227,2021,ausopen,1227,K Khachanov,R Berankis,,,,,,,,,,
2021-ausopen-MS228,2021,ausopen,1228,T Machac,M Berrettini,,,,,,,,,,
2021-ausopen-MS229,2021,ausopen,1229,F Fognini,S Caruso,,,,,,,,,,
2021-ausopen-MS230,2021,ausopen,1230,P Cuevas,A De Minaur,,,,,,,,,,
2021-ausopen-MS231,2021,ausopen,1231,C Norrie,R Safiullin,,,,,,,,,,
2021-ausopen-MS232,2021,ausopen,1232,M Mmoh,R Nadal,,,,,,,,,,
2021-ausopen-MS301,2021,ausopen,1301,N Djokovic,T Fritz,,,,,,,,,,
2021-ausopen-MS302,2021,ausopen,1302,M Fucsovics,M Raonic,,,,,,,,,,
2021-ausopen-MS303,2021,ausopen,1303,P Martinez,D Lajovic,,,,,,,,,,
2021-ausopen-MS304,2021,ausopen,1304,A Mannarino,A Zverev,,,,,,,,,,
2021-ausopen-MS305,2021,ausopen,1305,D Thiem,N Kyrgios,,,,,,,,,,
