WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Krunic A.,Avanesyan E.,96,138,652,450,6,4,6,4,,,2,0,Completed,1.61,2.3,1.6,2.47,1.67,2.55,1.57,2.38
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Williams S.,Kovinic D.,605,80,61,749,6,3,6,3,,,2,0,Completed,1.28,3.75,1.37,3.35,1.37,3.75,1.32,3.42
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Samsonova L.,Bejlek S.,35,209,1407,316,6,3,6,1,,,2,0,Completed,1.12,6,1.13,7.05,1.17,7.05,1.12,6.25
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Kuzmova V.,Sorribes Tormo S.,183,49,352,1081,6,3,6,4,,,2,0,Completed,3.5,1.3,3.47,1.35,3.75,1.35,3.44,1.31
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Fernandez L.A.,Dodin O.,14,98,2540,643,6,3,6,4,,,2,0,Completed,1.16,5,1.22,4.81,1.23,5.06,1.19,4.71
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Cirstea S.,Siegemund L.,37,182,1330,356,6,4,6,4,,,2,0,Completed,1.36,3.2,1.39,3.22,1.42,3.22,1.4,2.98
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Kanepi K.,Martincova T.,34,71,1433,855,7,6,6,3,,,2,0,Completed,1.44,2.75,1.5,2.75,1.55,2.85,1.46,2.72
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Muguruza G.,Tauson C.,10,57,2886,1018,6,3,7,6,,,2,0,Completed,1.9,1.9,1.96,1.93,1.97,2,1.91,1.9
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Sabalenka A.,Harrison Ca.,6,243,3470,265,6,1,6,3,,,2,0,Completed,1.08,8,1.09,9.23,1.18,9.5,1.08,8.04
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Pliskova Ka.,Linette M.,22,73,2007,850,6,2,4,6,7,6,2,1,Completed,1.44,2.75,1.57,2.55,1.57,2.85,1.49,2.61
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Pegula J.,Golubic V.,8,89,3201,677,6,2,6,2,,,2,0,Completed,1.12,6,1.13,6.92,1.16,6.92,1.13,5.89
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Fruhvirtova L.,Wang Xin.,167,79,373,759,6,3,6,4,,,2,0,Completed,1.44,2.75,1.52,2.69,1.55,2.8,1.49,2.63
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Zheng Q.,Ostapenko J.,39,16,1268,2316,6,3,3,6,6,4,2,1,Completed,1.9,1.9,2.01,1.88,2.05,1.93,1.95,1.86
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Bouzkova M.,Noskova L.,41,109,1252,601,6,2,6,7,6,2,2,1,Completed,1.36,3.2,1.38,3.29,1.42,3.4,1.36,3.15
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Swiatek I.,Paolini J.,1,56,8605,1035,6,3,6,0,,,2,0,Completed,1.04,13,1.05,13.44,1.07,16,1.04,11.45
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Stephens S.,Minnen G.,51,110,1066,587,1,6,6,3,6,3,2,1,Completed,1.3,3.5,1.34,3.54,1.35,3.6,1.31,3.44
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Kvitova P.,Andreeva E.,21,130,2077,474,7,6,6,0,,,2,0,Completed,1.14,5.5,1.18,5.48,1.2,5.75,1.16,5.29
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Kalinina A.,Pera B.,47,45,1091,1181,6,4,6,4,,,2,0,Completed,3.2,1.36,3.09,1.42,3.2,1.44,3.01,1.39
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Potapova A.,Liu C.,52,82,1066,730,6,1,6,4,,,2,0,Completed,1.4,3,1.45,2.94,1.45,3.1,1.4,2.94
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Burel C.,Rybakina E.,131,25,471,1850,6,4,6,4,,,2,0,Completed,8,1.08,10.07,1.08,11,1.09,8.64,1.07
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Sasnovich A.,Cocciaretto E.,32,99,1461,641,6,2,6,4,,,2,0,Completed,1.4,3,1.43,3.05,1.44,3.11,1.4,2.95
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Badosa P.,Tsurenko L.,4,87,3980,689,3,6,7,6,6,3,2,1,Completed,1.14,5.5,1.19,5.3,1.2,6,1.17,5.16
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Bencic B.,Petkovic A.,13,104,2635,606,6,2,4,6,6,4,2,1,Completed,1.16,5,1.18,5.53,1.2,9,1.17,5.24
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Davis L.,Bronzetti L.,105,59,604,977,4,6,7,6,5,4,1,1,Retired,1.8,2,1.93,1.95,2.1,2.02,1.91,1.9
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Van Uytvanck A.,Williams V.,43,1504,1220,3,6,1,7,6,,,2,0,Completed,1.25,4,1.32,3.7,1.35,4.21,1.29,3.65
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Yuan Y.,Fourlis J.,142,173,444,369,6,3,6,2,,,2,0,Completed,1.53,2.5,1.51,2.73,1.57,2.75,1.52,2.54
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Martic P.,Gracheva V.,54,72,1049,853,6,4,7,6,,,2,0,Completed,1.16,5,1.25,4.41,1.25,5.1,1.2,4.52
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Begu I.,Mertens E.,42,33,1234,1435,3,6,6,2,6,3,2,1,Completed,2.75,1.44,2.9,1.46,3.08,1.49,2.78,1.44
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Putintseva Y.,Anisimova A.,38,24,1295,1900,6,3,6,3,,,2,0,Completed,3.4,1.33,3.49,1.35,3.58,1.36,3.35,1.33
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Bucsa C.,Juvan K.,118,68,528,883,6,4,6,4,,,2,0,Completed,2,1.8,2.08,1.83,2.1,1.91,1.99,1.82
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Kostyuk M.,Sherif M.,65,63,915,940,7,6,6,4,,,2,0,Completed,1.14,5.5,1.2,5.13,1.25,5.75,1.18,4.98
43,New York,US Open,31/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Niemeier J.,Kenin S.,108,327,601,186,7,6,6,4,,,2,0,Completed,2.1,1.72,2.3,1.68,2.36,1.75,2.23,1.66
43,New York,US Open,31/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Siniakova K.,Townsend T.,83,197,728,329,6,4,4,6,6,2,2,1,Completed,2,1.8,2.01,1.88,2.05,1.9,1.99,1.82
43,New York,US Open,31/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Cornet A.,Raducanu E.,40,11,1260,2756,6,3,6,3,,,2,0,Completed,2.3,1.61,2.21,1.74,2.45,1.74,2.29,1.62
